,open,high,low,close,volume,value
2023-05-11 02:24:00,27101.23459537,27101.23459537,27050.0,27065.47065981,0.04635865,1255.11185115
2023-05-11 02:27:00,27180.0,27180.0,27180.0,27180.0,0.01342486,364.8876948
2023-05-11 02:42:00,27589.30757999,27589.30757999,27589.30757999,27589.30757999,0.00042316,11.6746914
2023-05-11 05:18:00,27711.76979999,27711.76979999,27711.76979999,27711.76979999,2.969e-05,0.82276245
2023-05-11 05:51:00,27729.31990425,27744.24418837,27729.31990425,27744.24418837,0.01505044,417.33849352
2023-05-11 06:09:00,27684.54705187,28196.81395802,27658.32169,28110.60885997,0.05929292,1655.37350216
2023-05-11 06:15:00,28187.51554,28187.51554,28187.51554,28187.51554,1.39e-06,0.03918065
2023-05-11 06:18:00,27677.38518577,28187.51554,27604.95086987,28181.67575281,0.01552732,433.39721161
2023-05-11 06:21:00,27619.875154,28187.51554,27556.74802,27556.74802,0.13213016,3644.72524758
2023-05-11 06:24:00,27053.11307684,27053.11307684,27053.11307684,27053.11307684,0.00075222,20.34989272
2023-05-11 06:30:00,27450.73346726,27450.73346726,27396.01109212,27450.73346726,0.012,328.94478924
2023-05-11 06:39:00,27899.67372,27899.67372,27899.67372,27899.67372,1.363e-05,0.38027255
2023-05-11 07:21:00,27924.35308,27924.35308,27386.06156937,27386.06156937,0.00207724,57.42182351
2023-05-11 07:24:00,27405.96081486,27405.96081486,27405.96081486,27405.96081486,0.00319773,87.63686308
2023-05-11 07:27:00,27798.83699998,27798.837,27798.83699997,27798.83699997,0.00313681,87.19966989
2023-05-11 07:33:00,27798.83699997,27798.83699997,27798.83699997,27798.83699997,0.00573095,159.3137449
2023-05-11 07:36:00,27798.83699997,27798.83699997,27798.83699997,27798.83699997,0.00728529,202.52258921
2023-05-11 08:00:00,27798.83699997,27798.83699997,27798.83699997,27798.83699997,0.00192168,53.42046909
2023-05-11 08:24:00,27748.675,27748.675,27748.675,27748.675,2.938e-05,0.81525607
2023-05-11 08:45:00,27748.675,27748.675,27748.675,27748.675,0.00509509,141.38199651
2023-05-11 08:57:00,27580.07766308,27580.07766308,27455.70822862,27580.07766308,0.0103945,286.3878417
2023-05-11 09:18:00,27455.70962864,27455.70962864,27435.80898312,27435.80898312,0.00272824,74.86900257
2023-05-11 09:21:00,27435.80898312,27435.80898312,27435.80898312,27435.80898312,0.03503264,961.14881922
2023-05-11 09:24:00,27748.6748,27748.6748,27748.6748,27748.6748,0.00268465,74.4954798
2023-05-11 09:42:00,27748.6748,27748.6748,27435.80898312,27435.80898312,0.00282619,77.58309202
2023-05-11 10:09:00,27435.80898313,27435.80898313,27435.80898313,27435.80898313,0.03585798,983.7926898
2023-05-11 10:21:00,27435.80918312,27435.80918312,27435.80918312,27435.80918312,0.06194042,1699.38554384
2023-05-11 10:45:00,27699.79699997,27699.797,27699.79699997,27699.79699997,0.00321593,89.08060816
2023-05-11 11:00:00,27435.80918312,27699.79699995,27435.80918312,27699.79699995,0.00058682,16.17677328
2023-05-11 11:06:00,27435.80918312,27435.80918312,27435.80918312,27435.80918312,0.00320823,88.0203861
2023-05-11 11:12:00,27435.80918312,27435.80918312,27435.80898312,27435.80898312,0.00401588,110.17891733
2023-05-11 11:27:00,27435.80898312,27435.80898312,27435.80898312,27435.80898312,0.00050505,13.85645533
2023-05-11 11:33:00,27435.80898312,27435.80898312,27381.087008,27381.087008,0.00246014,67.46000887
2023-05-11 11:36:00,27435.80898312,27435.80898312,27435.80898312,27435.80898312,0.00416427,114.25011627
2023-05-11 12:12:00,27361.18776251,27361.18776251,27318.45202,27318.45202001,0.00963287,263.2200185
2023-05-11 12:15:00,27361.18776251,27361.18776251,27318.45202001,27318.45202001,0.00870178,238.0857526
2023-05-11 12:18:00,27361.18776251,27361.18776251,27361.18776251,27361.18776251,0.00356811,97.62772767
2023-05-11 12:24:00,27699.79699994,27699.79699996,27281.59338047,27281.59358047,0.02418704,664.67229355
2023-05-11 12:27:00,27281.59338047,27281.59338047,27281.59338047,27281.59338047,0.04511672,1230.85600969
2023-05-11 12:33:00,27306.46538736,27548.48285775,27286.56794183,27548.48285775,0.01385228,381.01181471
2023-05-11 12:36:00,27548.48285762,27548.48285762,27548.48285762,27548.48285762,0.04736889,1304.94105415
2023-05-11 12:39:00,27548.48285762,27548.48285762,27548.48285762,27548.48285762,0.0008061,22.20683203
2023-05-11 12:54:00,27548.48285762,27548.48285762,27301.490626,27301.490626,0.0044968,123.32468038
2023-05-11 13:00:00,27548.48285761,27593.71021012,27548.48285761,27593.71021012,0.00221545,61.0783789
2023-05-11 13:03:00,27336.31395562,27336.31395562,27336.31395562,27336.31395562,0.0423686,1158.20135146
2023-05-11 13:06:00,27593.71021011,27613.81125562,27593.71021011,27613.81125562,0.00434598,119.98946991
2023-05-11 13:12:00,27352.219,27352.219,27352.219,27352.219,0.00214729,58.73314634
2023-05-11 13:15:00,27598.7354715,27598.7354715,27598.7354715,27598.7354715,0.00207872,57.3700434
2023-05-11 13:24:00,27352.21900001,27352.21900001,27352.21900001,27352.21900001,0.00027095,7.41108374
2023-05-11 13:48:00,27352.21900001,27352.21900001,27352.21900001,27352.21900001,0.00508333,139.04035541
2023-05-11 14:06:00,27598.73547149,27598.7354715,27598.73547149,27598.73547149,0.00057557,15.88500418
2023-05-11 14:09:00,27598.7354715,27598.7354715,27598.7354715,27598.7354715,0.00753565,207.97441095
2023-05-11 14:12:00,27598.7354715,27598.7354715,27598.7354715,27598.7354715,0.03710369,1024.01492533
2023-05-11 14:18:00,27598.7354715,27598.7354715,27598.7354715,27598.7354715,0.03682498,1016.32288176
2023-05-11 14:27:00,27598.7354715,27598.7354715,27598.7354715,27598.7354715,0.01,275.98735472
2023-05-11 14:30:00,27598.7354715,27598.7354715,27598.7354715,27598.7354715,0.03028202,835.74545952
2023-05-11 14:33:00,27748.67479985,27798.8355994,27366.184,27598.7354715,0.05988924,1654.6919961
2023-05-11 14:45:00,27366.18400001,27366.18400001,27366.18400001,27366.18400001,0.00016276,4.45412011
2023-05-11 14:51:00,27366.18400001,27366.18400001,27366.18400001,27366.18400001,0.00043369,11.86844034
2023-05-11 15:36:00,27778.934,27778.934,27778.934,27778.934,1.347e-05,0.37418224
2023-05-11 15:42:00,27423.00900001,27423.00900001,27423.00900001,27423.00900001,9.4e-07,0.02577763
2023-05-11 15:54:00,27423.00900001,27423.00900001,27423.00900001,27423.00900001,0.00081695,22.4032272
2023-05-11 15:57:00,27423.00900001,27423.00900001,27423.00900001,27423.00900001,0.00040272,11.04379418
2023-05-11 16:00:00,27788.243,27788.243,27788.243,27788.243,0.00540448,150.18100353
2023-05-11 16:09:00,27423.00900002,27423.00900002,27386.06156937,27423.00900002,0.04284296,1174.44473508
2023-05-11 16:12:00,27788.24299999,27847.983,27788.24299999,27847.983,0.04202242,1168.58693904
2023-05-11 16:24:00,27847.98299998,27847.983,27847.98299998,27847.983,0.02672323,744.18805474
2023-05-11 16:54:00,27443.76800001,27443.76800001,27311.099,27311.099,0.01359442,371.84436869
2023-05-11 17:30:00,27365.67200001,27365.67200001,27256.71777362,27365.67200001,0.04507931,1231.42613032
2023-05-11 17:39:00,27276.61721912,27365.67200001,27276.61721912,27365.67200001,0.04142099,1133.45581086
2023-05-11 17:42:00,27499.99999999,27499.99999999,27276.6180191,27276.6180191,0.01106863,302.05693046
2023-05-11 17:45:00,27499.99999999,27500.0,27499.99999999,27499.99999999,0.0102962,283.1455
2023-05-11 18:12:00,27276.61741915,27276.61741915,27276.61741915,27276.61741915,0.00057256,15.61750007
2023-05-11 18:15:00,27499.99999999,27499.99999999,27499.99999999,27499.99999999,0.00056508,15.5397
2023-05-11 18:27:00,27499.99999998,27500.0,27499.99999998,27500.0,0.00270286,74.32865
2023-05-11 19:21:00,27499.99999997,27500.0,27499.99999997,27499.99999997,0.02489048,684.4882
2023-05-11 19:51:00,27499.99999996,27499.99999997,27499.99999996,27499.99999997,0.00733282,201.65255
